price,assess,bdrms,lotsize,sqrft,colonial
300,349.1000061,4,6126,2438,1
370,351.5,3,9903,2076,1
191,217.6999969,3,5200,1374,0
195,231.8000031,3,4600,1448,1
373,319.1000061,4,6095,2514,1
466.2749939,414.5,5,8566,2754,1
332.5,367.7999878,3,9000,2067,1
315,300.2000122,3,6210,1731,1
206,236.1000061,3,6000,1767,0
240,256.2999878,3,2892,1890,0
285,314,4,6000,2336,1
300,416.5,5,7047,2634,1
405,434,3,12237,3375,1
212,279.2999878,3,6460,1899,0
265,287.5,3,6519,2312,1
227.3999939,232.8999939,4,3597,1760,1
240,303.7999878,4,5922,2000,0
285,305.6000061,3,7123,1774,1
268,266.7000122,3,5642,1376,1
310,326,4,8602,1835,1
266,294.2999878,3,5494,2048,1
270,318.7999878,3,7800,2124,1
225,294.2000122,3,6003,1768,0
150,208,4,5218,1732,0
247,239.6999969,3,9425,1440,1
275,294.1000061,3,6114,1932,0
230,267.3999939,3,6710,1932,0
343,359.8999939,3,8577,2106,1
477.5,478.1000061,7,8400,3529,1
350,355.2999878,4,9773,2051,1
230,217.8000031,4,4806,1573,1
335,385,4,15086,2829,0
251,224.3000031,3,5763,1630,1
235,251.8999939,4,6383,1840,1
361,354.8999939,4,9000,2066,1
190,212.5,4,3500,1702,0
360,452.3999939,4,10892,2750,1
575,518.0999756,5,15634,3880,1
209.0010071,289.3999939,4,6400,1854,1
225,268.1000061,2,8880,1421,0
246,278.5,3,6314,1662,1
713.5,655.4000244,5,28231,3331,1
248,273.2999878,4,7050,1656,1
230,212.1000061,3,5305,1171,0
375,354,5,6637,2293,1
265,252.1000061,3,7834,1764,1
313,324,3,1000,2768,0
417.5,475.5,4,8112,3733,0
253,256.7999878,3,5850,1536,1
315,279.2000122,4,6660,1638,1
264,313.8999939,3,6637,1972,1
255,279.7999878,2,15267,1478,0
210,198.6999969,3,5146,1408,1
180,221.5,3,6017,1812,1
250,268.3999939,3,8410,1722,1
250,282.2999878,4,5625,1780,1
209,230.6999969,4,5600,1674,1
258,287,4,6525,1850,1
289,298.7000122,3,6060,1925,1
316,314.6000061,4,5539,2343,0
225,291,3,7566,1567,0
266,286.3999939,4,5484,1664,1
310,253.6000061,6,5348,1386,1
471.25,482,5,15834,2617,1
335,384.2999878,4,8022,2321,1
495,543.5999756,4,11966,2638,1
279.5,336.5,4,8460,1915,1
380,515.0999756,4,15105,2589,1
325,437,4,10859,2709,0
220,263.3999939,3,6300,1587,1
215,300.3999939,3,11554,1694,0
240,250.6999969,3,6000,1536,1
725,708.5999756,5,31000,3662,0
230,276.2999878,3,4054,1736,1
306,388.6000061,2,20700,2205,0
425,252.5,3,5525,1502,0
318,295.2000122,4,92681,1696,1
330,359.5,3,8178,2186,1
246,276.2000122,4,5944,1928,1
225,249.8000031,3,18838,1294,0
111,202.3999939,4,4315,1535,1
268.125,254,3,5167,1980,1
244,306.7999878,4,7893,2090,1
295,318.2999878,3,6056,1837,1
236,259.3999939,3,5828,1715,0
202.5,258.1000061,3,6341,1574,0
219,232,2,6362,1185,0
242,252,4,4950,1774,1
377,353.5,5,7266,1726,0
210,271.8,2,7449,2218,0
356,446.7,4,9039,3169,0
308,285.8,3,7209,2310,1
325,312.7,4,7470,2282,0
256,259.1,3,4212,409,0
180,287.8,3,7264,1072,0
254,280.1,3,4648,847,1
271,320,4,6307,2487,1
209,261.5,4,7416,2055,0
256,328.9,3,6723,2587,1
216,194.9,3,6467,1477,0
188,246.3,4,6829,1826,0
240,239.7,4,6353,2546,1
214,237.5,2,7425,1235,0
297,361.4,4,14548,2603,0
193,223.1,3,4827,1304,1
264,291,4,7858,2757,0
347,366.4,3,7241,1607,0
230,307.3,4,7222,1350,1
207,282.6,2,4806,375,0
721,669.4,4,28509,3682,0
219,270.6,2,14080,2142,0
143,218.7,4,4811,1040,0
262,270.3,4,4765,1020,0
328,395.9,2,22297,2582,0
479,516.3,4,12674,2321,1
248,267.5,3,4288,2613,0
330,319.8,3,238,2364,0
246,265.9,3,4980,1795,0
