salary,teamsal,years,games,atbats,runs,hits,doubles,triples,hruns,hispan,yrsallst,pcinc
6329213,38407380,12,1705,6705,1076,1939,320,67,231,0,9,18840
3375000,38407380,8,918,3333,407,863,156,38,73,0,2,18840
3100000,38407380,5,751,2807,370,840,148,18,46,0,0,18840
2900000,38407380,8,1056,3337,405,816,143,18,107,0,0,18840
1650000,38407380,12,1196,3603,437,928,19,16,124,0,0,18840
7.00E+05,38407380,17,2032,7489,1136,2145,270,142,40,0,2,18840
695000,38407380,4,394,1293,179,303,51,13,37,1,0,18840
275000,38407380,10,432,1005,78,240,35,5,13,0,0,18840
235000,38407380,4,223,491,37,118,16,5,1,1,0,18840
212500,38407380,3,156,434,45,116,16,0,10,0,0,18840
212500,38407380,2,169,447,41,111,18,1,14,0,0,18840
180000,38407380,2,87,278,25,70,14,3,1,1,0,18840
3400000,18297546,7,789,2872,312,758,124,15,85,1,4,15682
2.00E+06,18297546,2,45,66,7,12,1,0,1,1,0,15682
1250000,18297546,4,442,1617,230,419,69,22,35,1,0,15682
825000,18297546,6,528,1608,178,395,60,7,8,0,2,15682
750000,18297546,7,701,2088,275,610,110,11,21,0,0,15682
2.00E+05,18297546,5,478,1348,155,351,69,9,26,0,0,15682
190000,18297546,2,168,421,42,114,23,2,3,0,0,15682
138000,18297546,3,109,330,19,71,10,1,8,0,0,15682
136000,18297546,2,86,197,19,44,8,1,4,0,0,15682
125000,18297546,2,37,111,13,28,7,2,0,0,0,15682
123000,18297546,1,32,99,14,29,6,0,0,0,0,15682
123000,18297546,3,38,77,9,16,3,0,0,0,0,15682
3.00E+06,14671833,4,433,1481,207,409,79,9,58,0,1,17889
1537500,14671833,3,415,1592,234,433,62,18,21,0,0,17889
1500000,14671833,4,431,1573,230,422,78,17,24,0,0,17889
210000,14671833,2,131,361,57,100,28,3,9,0,0,17889
170000,14671833,4,145,389,22,92,19,2,4,0,0,17889
142500,14671833,2,126,274,25,64,12,3,5,0,0,17889
126500,14671833,1,45,126,17,38,4,1,2,1,0,17889
117500,14671833,2,34,83,5,15,2,0,1,0,0,17889
115000,14671833,1,37,74,7,14,5,0,3,0,0,17889
6200000,38553668,7,1046,3732,572,1040,224,37,135,0,4,19683
3375000,38553668,16,2444,9124,1343,2646,462,32,414,0,8,19683
2312500,38553668,8,1021,4042,648,1071,124,62,18,0,2,19683
2300000,38553668,10,1328,5132,675,1465,251,70,48,1,4,19683
2150000,38553668,11,1279,4309,672,1092,225,17,204,0,2,19683
650000,38553668,9,930,2935,384,817,131,29,37,0,0,19683
635000,38553668,10,411,1004,133,251,30,6,12,0,0,19683
5.00E+05,38553668,7,339,889,87,182,48,3,12,0,0,19683
475000,38553668,6,533,1555,199,422,70,8,8,0,0,19683
195000,38553668,3,180,485,45,97,23,1,8,0,0,19683
109000,38553668,1,30,108,15,24,7,1,3,0,0,19683
2466667,27037334,8,931,3219,533,916,190,28,52,0,1,18431
2450000,27037334,7,930,2946,434,875,142,29,79,0,2,18431
2416667,27037334,9,706,2114,263,492,105,9,75,0,1,18431
2.00E+06,27037334,7,788,2830,368,722,123,27,53,1,0,18431
1375000,27037334,9,980,2982,398,838,124,35,37,0,0,18431
1050000,27037334,7,904,3135,402,772,154,15,146,0,0,18431
1.00E+06,27037334,5,500,1697,207,477,98,7,41,0,0,18431
6.00E+05,27037334,9,698,2144,251,594,121,23,25,0,0,18431
6.00E+05,27037334,3,284,851,136,224,38,6,38,0,0,18431
3.00E+05,27037334,3,250,826,94,212,23,12,5,0,0,18431
250000,27037334,3,195,704,86,176,37,3,24,0,0,18431
150000,27037334,4,159,362,41,66,12,3,2,1,0,18431
122500,27037334,2,54,163,11,34,4,0,1,0,0,18431
4950000,22987668,10,1390,4737,720,1308,251,82,144,0,2,20207
2600000,22987668,7,669,2444,349,627,125,26,39,0,0,20207
2350000,22987668,9,736,2134,166,574,97,5,16,0,0,20207
1066667,22987668,11,1004,3071,320,859,193,26,59,0,0,20207
1.00E+06,22987668,15,1475,4888,853,1414,264,54,90,0,1,20207
675000,22987668,4,365,1175,149,270,52,7,37,0,0,20207
675000,22987668,6,431,931,120,232,39,2,29,0,0,20207
360000,22987668,10,952,2367,215,578,114,19,26,0,0,20207
305000,22987668,3,279,840,136,218,46,7,16,1,0,20207
120000,22987668,3,38,67,7,16,1,2,0,1,0,20207
112000,22987668,2,92,229,26,58,13,0,0,0,0,20207
109000,22987668,1,12,12,1,2,0,1,0,0,0,20207
109000,22987668,1,10,7,2,4,0,0,0,0,0,20207
3897184,23387518,15,2208,8087,1079,2108,347,57,22,0,12,18595
2650000,23387518,6,617,2317,312,644,132,12,52,0,0,18595
2575000,23387518,6,508,1487,119,379,77,8,13,0,1,18595
2050000,23387518,9,1001,2780,288,726,94,19,12,1,0,18595
1025000,23387518,4,453,1581,196,413,82,11,34,0,0,18595
966667,23387518,10,972,2890,346,761,134,11,52,0,0,18595
508333,23387518,3,297,1003,131,252,38,12,20,0,0,18595
290000,23387518,3,343,1290,182,353,73,22,32,0,0,18595
225000,23387518,3,174,418,46,101,20,2,22,1,0,18595
175000,23387518,3,230,716,95,193,31,8,13,0,0,18595
170000,23387518,3,184,433,74,118,22,4,12,1,0,18595
160000,23387518,3,234,630,51,141,22,15,3,1,0,18595
3700000,37792000,6,701,2586,402,670,131,23,111,0,1,15559
